transaction_id,date,channel,status,decline_code,amount_eur,processing_ms
TX1001,2026-08-01,Web,Approved,,84.20,420
TX1002,2026-08-01,Web,Declined,DO_NOT_HONOR,51.00,610
TX1003,2026-08-01,Mobile,Approved,,120.50,380
TX1004,2026-08-01,Web,Declined,INSUFFICIENT_FUNDS,32.10,540
TX1005,2026-08-02,Mobile,Approved,,74.00,410
TX1006,2026-08-02,Web,Approved,,210.30,450
TX1007,2026-08-02,Mobile,Declined,DO_NOT_HONOR,48.90,720
TX1008,2026-08-03,Web,Approved,,96.40,390
TX1009,2026-08-03,Mobile,Declined,INSUFFICIENT_FUNDS,28.00,580
TX1010,2026-08-03,Web,Approved,,155.70,430
TX1011,2026-08-04,Mobile,Approved,,64.20,400
TX1012,2026-08-04,Web,Declined,DO_NOT_HONOR,73.10,690
TX1013,2026-08-05,Web,Approved,,310.00,460
TX1014,2026-08-05,Mobile,Approved,,88.50,395
TX1015,2026-08-05,Mobile,Declined,INSUFFICIENT_FUNDS,42.00,560
